Model,val_jaccard (IOU),val_recall,val_precision,val_dice (F1-Score),val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/image_size,config/lr,config/pretrained_arch,logdir
1,0.6896080754019998,0.8139953098513864,0.8196643428369002,0.8159090984951366,0.0533640255982225,40.03182911872864,True,10,0d6e7064,2023-07-14_10-55-21,1689332121,399.5913996696472,64060,1d5d55243a2a,172.28.0.12,399.5913996696472,10,16,352,0.0005775818611952291,<class 'segmentation_models_pytorch.decoders.unetplusplus.model.UnetPlusPlus'>,"/root/ray_results/model_creator_2023-07-14_10-48-30/model_creator_0d6e7064_1_batch_size=16,image_size=352,lr=0.0006,pretrained_arch=ref_ph_c70cbae7_2023-07-14_10-48-33"
2,0.1104273994763692,0.5606742004553477,0.1209307126700878,0.1988019521037737,0.5505552589893341,39.20000696182251,True,1,74fbb331,2023-07-14_10-56-00,1689332160,39.20000696182251,64060,1d5d55243a2a,172.28.0.12,39.20000696182251,1,64,160,0.00014557406475169753,<class 'segmentation_models_pytorch.decoders.unetplusplus.model.UnetPlusPlus'>,"/root/ray_results/model_creator_2023-07-14_10-48-30/model_creator_74fbb331_2_batch_size=64,image_size=160,lr=0.0001,pretrained_arch=ref_ph_c70cbae7_2023-07-14_10-48-41"
3,0.2552593553608114,0.8702839504588734,0.2654114595868371,0.4059579047289761,0.4722729108550332,41.43002271652222,True,1,774bd608,2023-07-14_10-56-41,1689332201,41.43002271652222,64060,1d5d55243a2a,172.28.0.12,41.43002271652222,1,32,352,0.00010249684418037932,<class 'segmentation_models_pytorch.decoders.unetplusplus.model.UnetPlusPlus'>,"/root/ray_results/model_creator_2023-07-14_10-48-30/model_creator_774bd608_3_batch_size=32,image_size=352,lr=0.0001,pretrained_arch=ref_ph_c70cbae7_2023-07-14_10-55-21"
4,0.4943934340368617,0.5631549222902819,0.8034053363583304,0.6600153310732408,0.0810242979363961,36.87786531448364,True,2,94fff38d,2023-07-14_10-57-55,1689332275,74.035471200943,64060,1d5d55243a2a,172.28.0.12,74.035471200943,2,16,160,0.0005767271446095381,<class 'segmentation_models_pytorch.decoders.fpn.model.FPN'>,"/root/ray_results/model_creator_2023-07-14_10-48-30/model_creator_94fff38d_4_batch_size=16,image_size=160,lr=0.0006,pretrained_arch=ref_ph_d08b895f_2023-07-14_10-56-00"
5,0.5159639214927499,0.5836032940582796,0.8178345750678669,0.6788574673912742,0.1211928156289187,38.00789165496826,True,2,3ded2e46,2023-07-14_10-59-13,1689332353,77.28491187095642,64060,1d5d55243a2a,172.28.0.12,77.28491187095642,2,16,160,0.0002602738416624192,<class 'segmentation_models_pytorch.decoders.unetplusplus.model.UnetPlusPlus'>,"/root/ray_results/model_creator_2023-07-14_10-48-30/model_creator_3ded2e46_5_batch_size=16,image_size=160,lr=0.0003,pretrained_arch=ref_ph_c70cbae7_2023-07-14_10-56-41"
6,0.0554171139374375,0.0601095928189655,0.4174666504065196,0.1039088830972711,0.5047615766525269,38.76341009140015,True,1,d4391ec5,2023-07-14_10-59-51,1689332391,38.76341009140015,64060,1d5d55243a2a,172.28.0.12,38.76341009140015,1,64,160,0.0001653187038671577,<class 'segmentation_models_pytorch.decoders.deeplabv3.model.DeepLabV3Plus'>,"/root/ray_results/model_creator_2023-07-14_10-48-30/model_creator_d4391ec5_6_batch_size=64,image_size=160,lr=0.0002,pretrained_arch=ref_ph_c9fd45ce_2023-07-14_10-57-55"
7,0.375170702735583,0.5414520601431528,0.5527598857879639,0.5452665984630585,0.4570743640263875,40.96420693397522,True,1,178defb0,2023-07-14_11-00-32,1689332432,40.96420693397522,64060,1d5d55243a2a,172.28.0.12,40.96420693397522,1,64,352,0.0002957175253728986,<class 'segmentation_models_pytorch.decoders.deeplabv3.model.DeepLabV3Plus'>,"/root/ray_results/model_creator_2023-07-14_10-48-30/model_creator_178defb0_7_batch_size=64,image_size=352,lr=0.0003,pretrained_arch=ref_ph_c9fd45ce_2023-07-14_10-59-13"
8,0.6501830111850392,0.8077281659299677,0.7698089805516329,0.7875894741578535,0.061437443237413,39.91449069976807,True,4,e7c73ce4,2023-07-14_11-03-14,1689332594,161.06806778907776,64060,1d5d55243a2a,172.28.0.12,161.06806778907776,4,32,352,0.00022398365054894867,<class 'segmentation_models_pytorch.decoders.fpn.model.FPN'>,"/root/ray_results/model_creator_2023-07-14_10-48-30/model_creator_e7c73ce4_8_batch_size=32,image_size=352,lr=0.0002,pretrained_arch=ref_ph_d08b895f_2023-07-14_10-59-51"
9,0.6744540198282762,0.808516960252415,0.803300527009097,0.8051594495773315,0.0549794474447315,39.844303607940674,True,8,283a725c,2023-07-14_11-08-33,1689332913,319.451655626297,64060,1d5d55243a2a,172.28.0.12,319.451655626297,8,16,352,0.000517179646575724,<class 'segmentation_models_pytorch.decoders.fpn.model.FPN'>,"/root/ray_results/model_creator_2023-07-14_10-48-30/model_creator_283a725c_9_batch_size=16,image_size=352,lr=0.0005,pretrained_arch=ref_ph_d08b895f_2023-07-14_11-00-32"
10,0.6854354088956659,0.8015537776730277,0.8263249722394076,0.8128311823714863,0.0533509752289815,39.27129864692688,True,10,fb44ed38,2023-07-14_11-15-08,1689333308,395.0520431995392,64060,1d5d55243a2a,172.28.0.12,395.0520431995392,10,16,352,0.0008615012568820611,<class 'segmentation_models_pytorch.decoders.unetplusplus.model.UnetPlusPlus'>,"/root/ray_results/model_creator_2023-07-14_10-48-30/model_creator_fb44ed38_10_batch_size=16,image_size=352,lr=0.0009,pretrained_arch=ref_ph_c70cbae7_2023-07-14_11-03-14"
