Model,val_jaccard (IOU),val_recall,val_precision,val_dice (F1-Score),val_loss,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/image_size,config/lr,logdir
1,0.6876952133395455,0.8186926652084697,0.8121352764693174,0.814542908560146,0.0542870533059943,40.44050741195679,True,10,8112b7a7,2023-07-14_11-51-09,1689335469,405.1397848129273,103383,1d5d55243a2a,172.28.0.12,405.1397848129273,10,352,0.0005323138995250305,"/root/ray_results/model_creator_2023-07-14_11-44-16/model_creator_8112b7a7_1_image_size=352,lr=0.0005_2023-07-14_11-44-16"
2,0.6751714755188335,0.772016083652323,0.8442874090238051,0.805513934655623,0.0540010107850486,40.53627038002014,True,8,a864a33b,2023-07-14_11-56-32,1689335792,323.3077268600464,103383,1d5d55243a2a,172.28.0.12,323.3077268600464,8,352,0.0005163820674351252,"/root/ray_results/model_creator_2023-07-14_11-44-16/model_creator_a864a33b_2_image_size=352,lr=0.0005_2023-07-14_11-44-24"
3,0.6452527073296633,0.7861552753231742,0.7829149853099476,0.7837792878801172,0.0684480010108514,30.203241109848022,True,2,611763e1,2023-07-14_11-57-33,1689335853,61.2816526889801,103383,1d5d55243a2a,172.28.0.12,61.2816526889801,2,256,0.0006803841082980316,"/root/ray_results/model_creator_2023-07-14_11-44-16/model_creator_611763e1_3_image_size=256,lr=0.0007_2023-07-14_11-51-09"
4,0.6356438994407654,0.7904121631925757,0.7663473297249187,0.7765881364995783,0.0850762409920042,30.32441115379333,True,1,cef5c685,2023-07-14_11-58-04,1689335884,30.32441115379333,103383,1d5d55243a2a,172.28.0.12,30.32441115379333,1,256,0.0006192163759880881,"/root/ray_results/model_creator_2023-07-14_11-44-16/model_creator_cef5c685_4_image_size=256,lr=0.0006_2023-07-14_11-56-32"
5,0.6170516068285162,0.7836940667845986,0.745205052874305,0.7623022171584043,0.1292884793471206,31.00322270393372,True,1,7575cf9c,2023-07-14_11-58-35,1689335915,31.00322270393372,103383,1d5d55243a2a,172.28.0.12,31.00322270393372,1,256,0.0006260809503926898,"/root/ray_results/model_creator_2023-07-14_11-44-16/model_creator_7575cf9c_5_image_size=256,lr=0.0006_2023-07-14_11-57-33"
6,0.6055203391747042,0.6508539021015167,0.8980371654033661,0.7531219260259108,0.06029150753536,40.43359613418579,True,4,d0b07d52,2023-07-14_12-01-16,1689336076,161.50134372711182,103383,1d5d55243a2a,172.28.0.12,161.50134372711182,4,352,0.0005535812836145304,"/root/ray_results/model_creator_2023-07-14_11-44-16/model_creator_d0b07d52_6_image_size=352,lr=0.0006_2023-07-14_11-58-04"
7,0.6795278841798956,0.7793684655969794,0.8421220210465518,0.8086642487482592,0.0534971231086687,40.68165993690491,True,8,1847cb58,2023-07-14_12-06-41,1689336401,324.7449173927307,103383,1d5d55243a2a,172.28.0.12,324.7449173927307,8,352,0.000635753749092353,"/root/ray_results/model_creator_2023-07-14_11-44-16/model_creator_1847cb58_7_image_size=352,lr=0.0006_2023-07-14_11-58-35"
8,0.5818219929933548,0.6237577457319606,0.8975605558265339,0.7341892665082758,0.063916771418669,30.447158336639404,True,4,fcbb69c6,2023-07-14_12-08-42,1689336522,121.45376992225648,103383,1d5d55243a2a,172.28.0.12,121.45376992225648,4,256,0.0005340062266744067,"/root/ray_results/model_creator_2023-07-14_11-44-16/model_creator_fcbb69c6_8_image_size=256,lr=0.0005_2023-07-14_12-01-16"
9,0.6437330056320537,0.7806747176430442,0.7868978056040677,0.7826284115964716,0.1163805330341512,40.6953718662262,True,1,013fb2f1,2023-07-14_12-09-23,1689336563,40.6953718662262,103383,1d5d55243a2a,172.28.0.12,40.6953718662262,1,352,0.0005149379862695079,"/root/ray_results/model_creator_2023-07-14_11-44-16/model_creator_013fb2f1_9_image_size=352,lr=0.0005_2023-07-14_12-06-41"
10,0.6810229908336293,0.7825833748687397,0.8409738296812231,0.8097556233406067,0.0529196641661904,41.33755111694336,True,10,d3f3c424,2023-07-14_12-16-11,1689336971,407.7033822536469,103383,1d5d55243a2a,172.28.0.12,407.7033822536469,10,352,0.0005412048891706757,"/root/ray_results/model_creator_2023-07-14_11-44-16/model_creator_d3f3c424_10_image_size=352,lr=0.0005_2023-07-14_12-08-42"
